Asset,Binomial,Kupiec,Christoffersen,Conditional Coverage,KS,Elapsed_Time_Sec
CSCO,"(0.5116660109403901, True)","(0.44189412595998434, True)","(0.23481321590443405, True)","(0.3673602372870711, True)","(5.606788640626157e-05, False)",29.01
ISRG,"(0.7208761065439124, True)","(0.6784605870756248, True)","(0.223413898407252, True)","(0.4373219986670065, True)","(6.098953876368461e-06, False)",32.11
BA,"(0.6286778867771994, True)","(0.5515783868294748, True)","(0.017729371165301933, False)","(0.05035809920113532, True)","(0.01738764493830301, False)",31.38
GILD,"(0.5116660109403901, True)","(0.44189412595998434, True)","(0.6777868049778926, True)","(0.6824995667770104, True)","(0.06900529397496447, True)",31.15
MDT,"(0.6286778867771994, True)","(0.5515783868294748, True)","(0.6518925255007322, True)","(0.7565324973478059, True)","(0.006500911897808144, False)",28.41
V,"(0.8477955805059418, True)","(0.8027796411516626, True)","(0.4997553140752794, True)","(0.7718879628286424, True)","(0.006542664084975026, False)",38.85
MO,"(0.8477955805059418, True)","(0.8027796411516626, True)","(0.9872474221980062, True)","(0.969169646772488, True)","(0.011663728954464209, False)",26.52
C,"(0.40624108515126295, True)","(0.3450372238352102, True)","(0.20160322630584426, True)","(0.2833213109074132, True)","(0.07731278865602076, True)",32.12
T,"(1.0, True)","(0.9330976627351217, True)","(0.37609218300606817, True)","(0.6735170887468276, True)","(0.018185814161601668, False)",29.25
BAC,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.5765990531674159, True)","(0.7823031913292242, True)","(0.021747454642715037, False)",28.77
ADBE,"(0.5116660109403901, True)","(0.44189412595998434, True)","(0.6777868049778926, True)","(0.6824995667770104, True)","(9.888742540603726e-05, False)",25.51
PEP,"(0.7208761065439124, True)","(0.6784605870756248, True)","(0.36408230428562305, True)","(0.6078583822892946, True)","(0.42140925560595277, True)",29.32
NOW,"(0.24398345656185266, True)","(0.2225012403815544, True)","(0.8502113146754946, True)","(0.4667717427525775, True)","(0.01833911564571312, False)",35.71
LLY,"(0.24398345656185266, True)","(0.2225012403815544, True)","(0.42967231961217234, True)","(0.34786615345367977, True)","(0.05824091012298238, True)",24.31
COST,"(0.6021395986644403, True)","(0.5632114619330219, True)","(0.24033773729802843, True)","(0.424691174810534, True)","(0.05324968707444655, True)",32.95
LOW,"(0.5116660109403901, True)","(0.44189412595998434, True)","(0.0810870701757962, True)","(0.16248524240388218, True)","(0.07082786649598838, True)",27.74
MDLZ,"(0.31444835726577647, True)","(0.28859481542836907, True)","(0.23775873341072196, True)","(0.2836541901429137, True)","(0.16498846824260405, True)",31.83
BKNG,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.7719797687230763, True)","(0.8766754907772705, True)","(0.09716034102845061, True)",33.01
MRK,"(1.0, True)","(0.9330976627351217, True)","(0.04982797289432528, False)","(0.14556351069527795, True)","(0.1938186555540342, True)",28.25
UNP,"(0.055596697387584736, True)","(0.04188327606466036, False)","(0.0660282005360443, True)","(0.023295240914358417, False)","(0.016198033967756778, False)",29.71
ABBV,"(0.8477955805059418, True)","(0.8027796411516626, True)","(0.40172005395734045, True)","(0.6819672475709235, True)","(0.0011284718038152555, False)",28.13
ORCL,"(0.3141778143017905, True)","(0.26218411635944094, True)","(0.786863518787785, True)","(0.5141974165035037, True)","(0.0034741084134627797, False)",26.61
SBUX,"(0.001036083206144393, False)","(0.0006454956207471163, False)","(0.3199495274448846, True)","(0.0018097572208054524, False)","(7.541611849833334e-05, False)",31.3
AMT,"(1.0, True)","(0.9330976627351217, True)","(0.39954937943471436, True)","(0.698818185721179, True)","(0.004733623283907845, False)",35.17
INTU,"(0.24398345656185266, True)","(0.2225012403815544, True)","(0.42967231961217234, True)","(0.34786615345367977, True)","(0.05366432418591005, True)",35.69
PG,"(0.6021395986644403, True)","(0.5632114619330219, True)","(0.3289016523084448, True)","(0.5253472267062991, True)","(0.2108017002788184, True)",30.91
CAT,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.7719797687230763, True)","(0.8766754907772705, True)","(0.008908812488356652, False)",34.81
MCD,"(0.6021395986644403, True)","(0.5632114619330219, True)","(0.3289016523084448, True)","(0.5253472267062991, True)","(0.2311211065190012, True)",36.17
AMZN,"(0.8863592037449854, True)","(0.8003246121387821, True)","(0.5293130431946155, True)","(0.7946598318280313, True)","(0.05466481150255831, True)",32.52
INTC,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.7719797687230763, True)","(0.8766754907772705, True)","(0.0939870437437873, True)",28.74
GM,"(0.40624108515126295, True)","(0.3450372238352102, True)","(0.09096034925532648, True)","(0.15343777992995322, True)","(0.00024199288217164217, False)",32.03
TXN,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.5765990531674159, True)","(0.7823031913292242, True)","(0.05542851150896544, True)",30.74
TMO,"(0.39777036149243006, True)","(0.36739526947685075, True)","(0.2657917750866171, True)","(0.3586542978035231, True)","(0.09995254724774716, True)",37.44
MMM,"(0.0020899245283996152, False)","(0.0013433412941558087, False)","(0.10826519834918413, True)","(0.0016113506310658776, False)","(0.00011058003130957681, False)",36.9
KO,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.06793195865286983, True)","(0.17277266643301048, True)","(0.6315196949605714, True)",39.97
NEE,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.09561073788393537, True)","(0.22803237130761478, True)","(0.007547178020272994, False)",34.89
UPS,"(0.02191331365054057, False)","(0.015733571485744502, False)","(0.2074324839198627, True)","(0.02445716618731464, False)","(6.040354945292306e-05, False)",31.58
EMR,"(0.8863592037449854, True)","(0.8003246121387821, True)","(0.5293130431946155, True)","(0.7946598318280313, True)","(0.02015253625159299, False)",30.72
MSFT,"(0.24398345656185266, True)","(0.2225012403815544, True)","(0.8502113146754946, True)","(0.4667717427525775, True)","(0.017682751607485725, False)",37.83
UBER,"(0.1726413835004769, True)","(0.1386942589677529, True)","(0.12087199791501302, True)","(0.1003404880215496, True)","(0.0018541900071599726, False)",34.07
ACN,"(0.31444835726577647, True)","(0.28859481542836907, True)","(0.38218885101400624, True)","(0.3887156214840267, True)","(0.009983989500426803, False)",29.31
AMAT,"(0.24398345656185266, True)","(0.2225012403815544, True)","(0.6348934474285624, True)","(0.4245079544639633, True)","(0.003189590165324839, False)",33.37
DE,"(0.5116660109403901, True)","(0.44189412595998434, True)","(0.6524609770565122, True)","(0.6722767435342742, True)","(0.11773273296364828, True)",34.04
SPG,"(0.012982398871559516, False)","(0.009084406482310126, False)","(0.22732127776747701, True)","(0.01605314307028649, False)","(0.010913894213553097, False)",31.62
AMD,"(0.8477955805059418, True)","(0.8027796411516626, True)","(0.40172005395734045, True)","(0.6819672475709235, True)","(0.017308072159983808, False)",31.82
RTX,"(0.8863592037449854, True)","(0.8003246121387821, True)","(0.35370049402119563, True)","(0.6299881363036237, True)","(0.0014052023641363475, False)",25.74
NVDA,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.7719797687230763, True)","(0.8766754907772705, True)","(0.06647264813431542, True)",37.54
HD,"(0.8477955805059418, True)","(0.8027796411516626, True)","(0.03841246005167065, False)","(0.11366270075084017, True)","(0.1816066889863146, True)",33.76
FDX,"(0.004018005143047718, False)","(0.0026604798462805945, False)","(0.6143570786606385, True)","(0.009654359974414883, False)","(9.611353869679153e-06, False)",31.45
SCHW,"(0.6286778867771994, True)","(0.5515783868294748, True)","(0.27125049181802463, True)","(0.4572821459920372, True)","(0.00010333941142838751, False)",33.9
AXP,"(0.6286778867771994, True)","(0.5515783868294748, True)","(0.6261301112776376, True)","(0.7438460412081521, True)","(0.0026135430612418496, False)",34.3
SO,"(0.9798845274249196, True)","(0.9333781177520118, True)","(0.4418198857085871, True)","(0.7413594217414108, True)","(0.37946243573639593, True)",33.58
XOM,"(0.49392018840357443, True)","(0.4590989079654483, True)","(0.801814242266262, True)","(0.736721178628631, True)","(0.07116329956166978, True)",40.84
CVX,"(0.6021395986644403, True)","(0.5632114619330219, True)","(0.6098388696847588, True)","(0.7428271476998968, True)","(0.00012621833813340503, False)",32.3
CMCSA,"(0.3141778143017905, True)","(0.26218411635944094, True)","(0.786863518787785, True)","(0.5141974165035037, True)","(0.0044487999652544595, False)",27.65
NKE,"(0.001036083206144393, False)","(0.0006454956207471163, False)","(0.5007683914055796, True)","(0.002365797780503054, False)","(0.00014309171708272382, False)",29.14
IBM,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.09561073788393537, True)","(0.22803237130761478, True)","(0.0633584021773892, True)",35.5
