Asset,Binomial,Kupiec,Christoffersen,Conditional Coverage,KS,Elapsed_Time_Sec
CSCO,"(0.9798845274249196, True)","(0.9333781177520118, True)","(0.16325648283725935, True)","(0.3770436517422716, True)","(0.43935071933002556, True)",51.1
ISRG,"(0.051836177255354395, True)","(0.04580369307019594, False)","(0.705293441539024, True)","(0.1267027533406211, True)","(0.2677962913889699, True)",56.5
BA,"(0.9798845274249196, True)","(0.9333781177520118, True)","(0.04718974430583178, False)","(0.13906702418579864, True)","(0.662766378325518, True)",51.36
GILD,"(0.8477955805059418, True)","(0.8027796411516626, True)","(0.9818226255345727, True)","(0.9690419041264164, True)","(0.25398780472566285, True)",53.81
MDT,"(0.40624108515126295, True)","(0.3450372238352102, True)","(0.7591480898321448, True)","(0.610904656307471, True)","(0.6134253962843474, True)",47.55
V,"(0.6286778867771994, True)","(0.5515783868294748, True)","(0.7116279825824238, True)","(0.7822532665945084, True)","(0.8227749196985125, True)",61.08
MO,"(0.8477955805059418, True)","(0.8027796411516626, True)","(0.9872474221980062, True)","(0.969169646772488, True)","(0.6738094811347453, True)",49.3
C,"(0.5116660109403901, True)","(0.44189412595998434, True)","(0.23481321590443405, True)","(0.3673602372870711, True)","(0.7574428985625535, True)",52.39
T,"(0.7208761065439124, True)","(0.6784605870756248, True)","(0.52625635588225, True)","(0.7507072830449177, True)","(0.8056032751300828, True)",50.4
BAC,"(0.8863592037449854, True)","(0.8003246121387821, True)","(0.5293130431946155, True)","(0.7946598318280313, True)","(0.47655322542496625, True)",49.55
ADBE,"(0.8477955805059418, True)","(0.8027796411516626, True)","(0.4997553140752794, True)","(0.7718879628286424, True)","(0.7451571441237554, True)",50.61
PEP,"(0.7208761065439124, True)","(0.6784605870756248, True)","(0.36408230428562305, True)","(0.6078583822892946, True)","(0.3532142658303036, True)",48.02
NOW,"(0.31444835726577647, True)","(0.28859481542836907, True)","(0.6886603994446727, True)","(0.5255277762321245, True)","(0.4234647440289022, True)",57.17
LLY,"(0.024503309170237155, False)","(0.021386733317750872, False)","(0.21089622074555936, True)","(0.03238267906719583, False)","(0.5071741609689184, True)",45.59
COST,"(0.8863592037449854, True)","(0.8003246121387821, True)","(0.10505963126038242, True)","(0.26041227985089, True)","(0.4398606314776541, True)",51.29
LOW,"(0.8863592037449854, True)","(0.8003246121387821, True)","(0.05651241201622148, True)","(0.15716942065696138, True)","(0.7562956002908905, True)",45.98
MDLZ,"(0.49392018840357443, True)","(0.4590989079654483, True)","(0.02544948699232863, False)","(0.06262664617294489, True)","(0.5964309047379768, True)",50.73
BKNG,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.7719797687230763, True)","(0.8766754907772705, True)","(0.561218107938259, True)",52.15
MRK,"(0.7208761065439124, True)","(0.6784605870756248, True)","(0.03358324564490611, False)","(0.09595938913670454, True)","(0.8476984144072073, True)",49.13
UNP,"(0.40624108515126295, True)","(0.3450372238352102, True)","(0.20160322630584426, True)","(0.2833213109074132, True)","(0.3857574579031592, True)",51.36
ABBV,"(0.6021395986644403, True)","(0.5632114619330219, True)","(0.3289016523084448, True)","(0.5253472267062991, True)","(0.5141345587500001, True)",50.33
ORCL,"(0.051836177255354395, True)","(0.04580369307019594, False)","(0.35912123284990927, True)","(0.08937791919034921, True)","(0.22877105310969503, True)",51.66
SBUX,"(0.3141778143017905, True)","(0.26218411635944094, True)","(0.10176180713627847, True)","(0.13981291864157097, True)","(0.27591973048437546, True)",52.75
AMT,"(0.6021395986644403, True)","(0.5632114619330219, True)","(0.6098388696847588, True)","(0.7428271476998968, True)","(0.944933349314568, True)",55.8
INTU,"(0.18579840405109263, True)","(0.16836381935411637, True)","(0.480015705806497, True)","(0.3017550383133125, True)","(0.9375422579220615, True)",57.96
PG,"(0.8477955805059418, True)","(0.8027796411516626, True)","(0.40172005395734045, True)","(0.6819672475709235, True)","(0.1740465516492964, True)",51.89
CAT,"(1.0, True)","(0.9330976627351217, True)","(0.8948304384726783, True)","(0.9878135235999268, True)","(0.26002994016908365, True)",55.52
