Asset,Binomial,Kupiec,Christoffersen,Conditional Coverage,KS,Elapsed_Time_Sec
CSCO,"(0.7208761065439124, True)","(0.6784605870756248, True)","(0.223413898407252, True)","(0.4373219986670065, True)","(0.06369383560432262, True)",31.52
ISRG,"(0.0359670645085419, False)","(0.03158540115446973, False)","(0.7661037494495151, True)","(0.09492428890602045, True)","(0.2750204680593137, True)",36.28
BA,"(0.49392018840357443, True)","(0.4590989079654483, True)","(0.10618218223708964, True)","(0.2061570838987885, True)","(0.6347417885864247, True)",36.62
GILD,"(0.39777036149243006, True)","(0.36739526947685075, True)","(0.7443750861324383, True)","(0.631670746028327, True)","(0.3153061391002424, True)",34.97
MDT,"(1.0, True)","(0.9330976627351217, True)","(0.5066940514512559, True)","(0.799340900816378, True)","(0.6101754534458489, True)",31.8
V,"(0.31444835726577647, True)","(0.28859481542836907, True)","(0.38218885101400624, True)","(0.3887156214840267, True)","(0.32184130792923893, True)",42.78
MO,"(0.39777036149243006, True)","(0.36739526947685075, True)","(0.7730622962694715, True)","(0.6390280979792153, True)","(0.5344465402921474, True)",30.06
C,"(0.6286778867771994, True)","(0.5515783868294748, True)","(0.27125049181802463, True)","(0.4572821459920372, True)","(0.7993543235609297, True)",35.96
T,"(0.24398345656185266, True)","(0.2225012403815544, True)","(0.8190639605235188, True)","(0.46289916067877623, True)","(0.6326347838349142, True)",32.97
BAC,"(1.0, True)","(0.9330976627351217, True)","(0.4843645697584532, True)","(0.7803334994826827, True)","(0.6139728820675747, True)",32.49
ADBE,"(0.31444835726577647, True)","(0.28859481542836907, True)","(0.7884395852014643, True)","(0.5493140113828717, True)","(0.512588324579921, True)",29.54
PEP,"(0.39777036149243006, True)","(0.36739526947685075, True)","(0.2657917750866171, True)","(0.3586542978035231, True)","(0.3151605715866299, True)",33.5
NOW,"(0.0359670645085419, False)","(0.03158540115446973, False)","(0.781165803580904, True)","(0.09546301610121133, True)","(0.36110108690413556, True)",39.83
LLY,"(0.016392818298307348, False)","(0.014221247047396468, False)","(0.24419952433805026, True)","(0.025139180935214833, False)","(0.43684009166864357, True)",28.56
COST,"(0.24398345656185266, True)","(0.2225012403815544, True)","(0.16375912444634888, True)","(0.18020396259885718, True)","(0.692158643619621, True)",35.02
LOW,"(1.0, True)","(0.9330976627351217, True)","(0.04982797289432528, False)","(0.14556351069527795, True)","(0.7438786747623519, True)",31.55
MDLZ,"(0.010771048061367236, False)","(0.00928824377062698, False)","(0.25997123694789315, True)","(0.017993801457179326, False)","(0.8239459566596664, True)",35.82
BKNG,"(1.0, True)","(0.9330976627351217, True)","(0.39954937943471436, True)","(0.698818185721179, True)","(0.7155594589108487, True)",36.29
MRK,"(0.18579840405109263, True)","(0.16836381935411637, True)","(0.014110883786428996, False)","(0.0190472066386288, False)","(0.6776591282587271, True)",31.81
UNP,"(0.12229323797984461, True)","(0.0962583615221736, True)","(0.09992101765229555, True)","(0.06478794693966783, True)","(0.8645144067138523, True)",33.68
ABBV,"(0.31444835726577647, True)","(0.28859481542836907, True)","(0.23775873341072196, True)","(0.2836541901429137, True)","(0.19838822234171427, True)",31.42
ORCL,"(0.051836177255354395, True)","(0.04580369307019594, False)","(0.35912123284990927, True)","(0.08937791919034921, True)","(0.23389970160832418, True)",31.05
SBUX,"(0.5116660109403901, True)","(0.44189412595998434, True)","(0.0810870701757962, True)","(0.16248524240388218, True)","(0.24274543665127035, True)",35.42
AMT,"(0.6021395986644403, True)","(0.5632114619330219, True)","(0.08793254060288558, True)","(0.1973063737166153, True)","(0.4106686060074497, True)",38.71
INTU,"(0.0359670645085419, False)","(0.03158540115446973, False)","(0.4050312673317451, True)","(0.0701514364121536, True)","(0.7682550215348329, True)",39.52
PG,"(0.18579840405109263, True)","(0.16836381935411637, True)","(0.18836769086195326, True)","(0.16301792884572464, True)","(0.6754546056904767, True)",35.09
CAT,"(0.24398345656185266, True)","(0.2225012403815544, True)","(0.6348934474285624, True)","(0.4245079544639633, True)","(0.4239988072169447, True)",39.17
MCD,"(0.31444835726577647, True)","(0.28859481542836907, True)","(0.23775873341072196, True)","(0.2836541901429137, True)","(0.44275381854250184, True)",40.6
AMZN,"(0.8477955805059418, True)","(0.8027796411516626, True)","(0.40172005395734045, True)","(0.6819672475709235, True)","(0.9594302021311516, True)",35.53
INTC,"(0.6021395986644403, True)","(0.5632114619330219, True)","(0.8607253922738932, True)","(0.8332024874108458, True)","(0.41432248606643707, True)",32.08
GM,"(0.31444835726577647, True)","(0.28859481542836907, True)","(0.38218885101400624, True)","(0.3887156214840267, True)","(0.43508715790860775, True)",35.75
TXN,"(0.31444835726577647, True)","(0.28859481542836907, True)","(0.7164465816056262, True)","(0.5331012078776673, True)","(0.6991848842567967, True)",34.51
TMO,"(0.07334210751143395, True)","(0.06521228713839122, True)","(0.12954207164049525, True)","(0.05791429157377215, True)","(0.9258383968273884, True)",40.14
MMM,"(1.0, True)","(0.9330976627351217, True)","(0.1378229759148848, True)","(0.3313523305489038, True)","(0.6673720186965311, True)",41.19
KO,"(0.7208761065439124, True)","(0.6784605870756248, True)","(0.0359444558068136, False)","(0.10169258743239928, True)","(0.6029880202173055, True)",43.22
NEE,"(0.49392018840357443, True)","(0.4590989079654483, True)","(0.29640432714036014, True)","(0.4407857843815114, True)","(0.22648274642286348, True)",38.76
UPS,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.7719797687230763, True)","(0.8766754907772705, True)","(0.0919587948769971, True)",35.78
EMR,"(0.10186350504481735, True)","(0.09114292994471429, True)","(0.48704298087329145, True)","(0.1885181092278464, True)","(0.5235729544591397, True)",34.83
MSFT,"(0.016392818298307348, False)","(0.014221247047396468, False)","(0.6672032797268563, True)","(0.045153838243378486, False)","(0.8740660483311035, True)",41.06
UBER,"(0.6286778867771994, True)","(0.5515783868294748, True)","(0.27125049181802463, True)","(0.4572821459920372, True)","(0.2794578002819491, True)",37.6
ACN,"(0.010771048061367236, False)","(0.00928824377062698, False)","(0.28077694992742097, True)","(0.018969258760243024, False)","(0.36396175286553867, True)",33.04
AMAT,"(0.051836177255354395, True)","(0.04580369307019594, False)","(0.4008890603135864, True)","(0.09563383415517357, True)","(0.6126241409997283, True)",37.11
DE,"(1.0, True)","(0.9330976627351217, True)","(0.8948304384726783, True)","(0.9878135235999268, True)","(0.48654641732023496, True)",37.95
SPG,"(0.40624108515126295, True)","(0.3450372238352102, True)","(0.5948178278390486, True)","(0.5558514673914027, True)","(0.4663962084795312, True)",36.45
AMD,"(0.18579840405109263, True)","(0.16836381935411637, True)","(0.5832666048272983, True)","(0.3331316296081892, True)","(0.9114907511083676, True)",36.04
RTX,"(0.7208761065439124, True)","(0.6784605870756248, True)","(0.5536912134739105, True)","(0.7700461081781282, True)","(0.8285484314543243, True)",29.91
NVDA,"(0.7208761065439124, True)","(0.6784605870756248, True)","(0.223413898407252, True)","(0.4373219986670065, True)","(0.7614050351073163, True)",41.14
HD,"(0.39777036149243006, True)","(0.36739526947685075, True)","(0.02205800799360591, False)","(0.048469062657697015, False)","(0.338812673615157, True)",37.56
FDX,"(0.7546636057236663, True)","(0.6720093681884183, True)","(0.09561073788393537, True)","(0.22803237130761478, True)","(0.14213927894228684, True)",36.02
SCHW,"(1.0, True)","(0.9330976627351217, True)","(0.39954937943471436, True)","(0.698818185721179, True)","(0.6840345704460596, True)",37.68
AXP,"(0.9798845274249196, True)","(0.9333781177520118, True)","(0.4418198857085871, True)","(0.7413594217414108, True)","(0.5447766069131854, True)",38.52
SO,"(0.49392018840357443, True)","(0.4590989079654483, True)","(0.801814242266262, True)","(0.736721178628631, True)","(0.866279804770415, True)",36.97
XOM,"(0.31444835726577647, True)","(0.28859481542836907, True)","(0.6886603994446727, True)","(0.5255277762321245, True)","(0.297108915154209, True)",45.4
CVX,"(0.31444835726577647, True)","(0.28859481542836907, True)","(0.1508479790286642, True)","(0.20292679447564066, True)","(0.01775784030740472, False)",36.19
CMCSA,"(0.7208761065439124, True)","(0.6784605870756248, True)","(0.9208292214219745, True)","(0.9131354427494852, True)","(0.8714447944364613, True)",31.21
NKE,"(1.0, True)","(0.9330976627351217, True)","(0.8948304384726783, True)","(0.9878135235999268, True)","(0.9560146811384387, True)",33.47
IBM,"(0.10186350504481735, True)","(0.09114292994471429, True)","(0.03607763683355425, False)","(0.026682412086565965, False)","(0.04682392284185888, False)",39.69
USB,"(0.12229323797984461, True)","(0.0962583615221736, True)","(0.9618913851251825, True)","(0.2504802132177003, True)","(0.09776952673509876, True)",38.77
LIN,"(0.49392018840357443, True)","(0.4590989079654483, True)","(0.10618218223708964, True)","(0.2061570838987885, True)","(0.8815960785272343, True)",36.26
WFC,"(0.8863592037449854, True)","(0.8003246121387821, True)","(0.11532640571027608, True)","(0.28032060190705743, True)","(0.552281486098156, True)",33.41
GS,"(0.6286778867771994, True)","(0.5515783868294748, True)","(0.6261301112776376, True)","(0.7438460412081521, True)","(0.8338992811938373, True)",32.57
GD,"(0.49392018840357443, True)","(0.4590989079654483, True)","(0.10618218223708964, True)","(0.2061570838987885, True)","(0.6798721003479034, True)",30.87
