Asset,Binomial,Kupiec,Christoffersen,Conditional Coverage,KS,Elapsed_Time_Sec
CSCO,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.11737194850874533, True)","(0.2004769183262204, True)","(0.06369383560432262, True)",33.77
ISRG,"(0.951458501481197, True)","(0.8559516455567326, True)","(0.06878608843777512, True)","(0.18780465122305134, True)","(0.2750204680593137, True)",36.36
BA,"(0.1564251471499955, True)","(0.12875801421105537, True)","(0.011794757771698361, False)","(0.013240977434352263, False)","(0.6347417885864247, True)",35.43
GILD,"(1.0, True)","(0.8527815607708865, True)","(0.7162877373173785, True)","(0.9201147141458403, True)","(0.3153061391002424, True)",37.28
MDT,"(0.951458501481197, True)","(0.8559516455567326, True)","(0.6776855249532965, True)","(0.9022641021661861, True)","(0.6101754534458489, True)",34.68
V,"(0.04197047468106364, False)","(0.033239714429640355, False)","(0.4651953232101522, True)","(0.07939041092050003, True)","(0.32184130792923893, True)",45.68
MO,"(0.675371478442717, True)","(0.5935590422683594, True)","(0.6592240895978102, True)","(0.7869080078867963, True)","(0.5344465402921474, True)",30.31
C,"(0.951458501481197, True)","(0.8559516455567326, True)","(0.6776855249532965, True)","(0.9022641021661861, True)","(0.7993543235609297, True)",36.0
T,"(0.675371478442717, True)","(0.5935590422683594, True)","(0.6398607604784312, True)","(0.7773439658153354, True)","(0.6326347838349142, True)",35.86
BAC,"(1.0, True)","(0.8527815607708865, True)","(0.049748320680539804, False)","(0.1433911691855797, True)","(0.6139728820675747, True)",35.21
ADBE,"(0.1564251471499955, True)","(0.12875801421105537, True)","(0.5318840825846567, True)","(0.25947293370439883, True)","(0.512588324579921, True)",32.7
PEP,"(0.0836828442030711, True)","(0.06753056991589323, True)","(0.49796860675724686, True)","(0.14947072257802652, True)","(0.3151605715866299, True)",35.48
NOW,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.36110108690413556, True)",42.15
LLY,"(0.951458501481197, True)","(0.8559516455567326, True)","(0.6776855249532965, True)","(0.9022641021661861, True)","(0.43684009166864357, True)",30.32
COST,"(0.0836828442030711, True)","(0.06753056991589323, True)","(0.5151235298865193, True)","(0.15215644434738507, True)","(0.692158643619621, True)",37.44
LOW,"(0.951458501481197, True)","(0.8559516455567326, True)","(0.6776855249532965, True)","(0.9022641021661861, True)","(0.7438786747623519, True)",33.61
MDLZ,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.8239459566596664, True)",38.72
BKNG,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.7155594589108487, True)",41.15
MRK,"(1.0, True)","(0.8527815607708865, True)","(0.7162877373173785, True)","(0.9201147141458403, True)","(0.6776591282587271, True)",34.8
UNP,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.11737194850874533, True)","(0.2004769183262204, True)","(0.8645144067138523, True)",35.47
ABBV,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.19838822234171427, True)",33.88
ORCL,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.6028999280432492, True)","(0.5966907314487402, True)","(0.23389970160832418, True)",32.94
SBUX,"(1.0, True)","(0.8527815607708865, True)","(0.7162877373173785, True)","(0.9201147141458403, True)","(0.24274543665127035, True)",37.5
AMT,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.6028999280432492, True)","(0.5966907314487402, True)","(0.4106686060074497, True)",41.64
INTU,"(0.0014713467918347964, False)","(0.001091190464849845, False)","(0.34641488958888333, True)","(0.0031001480449159846, False)","(0.7682550215348329, True)",41.63
PG,"(0.04197047468106364, False)","(0.033239714429640355, False)","(0.4651953232101522, True)","(0.07939041092050003, True)","(0.6754546056904767, True)",36.09
CAT,"(1.0, True)","(0.8527815607708865, True)","(0.7162877373173785, True)","(0.9201147141458403, True)","(0.4239988072169447, True)",39.45
MCD,"(0.1564251471499955, True)","(0.12875801421105537, True)","(0.5318840825846567, True)","(0.25947293370439883, True)","(0.44275381854250184, True)",39.48
AMZN,"(0.675371478442717, True)","(0.5935590422683594, True)","(0.6398607604784312, True)","(0.7773439658153354, True)","(0.9594302021311516, True)",35.29
INTC,"(0.951458501481197, True)","(0.8559516455567326, True)","(0.6776855249532965, True)","(0.9022641021661861, True)","(0.41432248606643707, True)",31.78
GM,"(0.675371478442717, True)","(0.5935590422683594, True)","(0.6398607604784312, True)","(0.7773439658153354, True)","(0.43508715790860775, True)",36.2
TXN,"(0.1564251471499955, True)","(0.12875801421105537, True)","(0.18015008846017833, True)","(0.12849050308285548, True)","(0.6991848842567967, True)",34.06
