Asset,Binomial,Kupiec,Christoffersen,Conditional Coverage,KS Test,Elapsed_Time_Sec
CSCO,"(0.0836828442030711, True)","(0.06753056991589323, True)","(0.21677151682999474, True)","(0.08770016411245851, True)","(5.606788640626157e-05, False)",38.63
ISRG,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.0002385306563568168, False)","(0.0005691844991928541, False)","(6.098953876368461e-06, False)",44.39
BA,"(0.0036960116021815858, False)","(0.002782877430933528, False)","(0.05501929050969934, True)","(0.0018124760270860074, False)","(0.01738764493830301, False)",45.67
GILD,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.14699459115931912, True)","(0.169863617323319, True)","(0.06900529397496447, True)",42.42
MDT,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.6028999280432492, True)","(0.5966907314487402, True)","(0.006500911897808144, False)",38.07
V,"(7.065595975879232e-06, False)","(4.907535950504638e-06, False)","(0.22732127776747701, True)","(1.4157135995174208e-05, False)","(0.006542664084975026, False)",51.75
MO,"(0.0036960116021815858, False)","(0.002782877430933528, False)","(0.38878936212645154, True)","(0.007878062569617206, False)","(0.011663728954464209, False)",35.39
C,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.14699459115931912, True)","(0.169863617323319, True)","(0.07731278865602076, True)",43.62
T,"(0.04197047468106364, False)","(0.033239714429640355, False)","(0.2567519557359831, True)","(0.054487277211263785, True)","(0.018185814161601668, False)",41.51
BAC,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.14699459115931912, True)","(0.169863617323319, True)","(0.021747454642715037, False)",41.39
ADBE,"(0.0836828442030711, True)","(0.06753056991589323, True)","(0.49796860675724686, True)","(0.14947072257802652, True)","(9.888742540603726e-05, False)",37.13
PEP,"(0.0087969800978466, False)","(0.006730108937634149, False)","(0.4032697298846448, True)","(0.01793343283823423, False)","(0.42140925560595277, True)",40.06
NOW,"(2.1254281289758925e-06, False)","(1.4594782485888302e-06, False)","(0.794274846836416, True)","(8.856801137047121e-06, False)","(0.01833911564571312, False)",47.55
LLY,"(0.01979008771299665, False)","(0.015397296034679764, False)","(0.4336148504030636, True)","(0.03909442004321684, False)","(0.05824091012298238, True)",34.59
COST,"(0.0036960116021815858, False)","(0.002782877430933528, False)","(0.38878936212645154, True)","(0.007878062569617206, False)","(0.05324968707444655, True)",46.56
LOW,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.07082786649598838, True)",40.73
MDLZ,"(0.0836828442030711, True)","(0.06753056991589323, True)","(0.49796860675724686, True)","(0.14947072257802652, True)","(0.16498846824260405, True)",44.18
BKNG,"(0.0005562630062077163, False)","(0.00040664550726554616, False)","(0.3199495274448846, True)","(0.0011764189738072695, False)","(0.09716034102845061, True)",44.38
MRK,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.6028999280432492, True)","(0.5966907314487402, True)","(0.1938186555540342, True)",40.24
UNP,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.14699459115931912, True)","(0.169863617323319, True)","(0.016198033967756778, False)",40.17
ABBV,"(0.0036960116021815858, False)","(0.002782877430933528, False)","(0.37419433816265435, True)","(0.007695226959062995, False)","(0.0011284718038152555, False)",37.6
ORCL,"(0.04197047468106364, False)","(0.033239714429640355, False)","(0.2567519557359831, True)","(0.054487277211263785, True)","(0.0034741084134627797, False)",35.78
SBUX,"(0.675371478442717, True)","(0.5935590422683594, True)","(0.6398607604784312, True)","(0.7773439658153354, True)","(7.541611849833334e-05, False)",42.17
AMT,"(0.0087969800978466, False)","(0.006730108937634149, False)","(0.4032697298846448, True)","(0.01793343283823423, False)","(0.004733623283907845, False)",48.4
INTU,"(7.065595975879232e-06, False)","(4.907535950504638e-06, False)","(0.22732127776747701, True)","(1.4157135995174208e-05, False)","(0.05366432418591005, True)",47.5
PG,"(0.0087969800978466, False)","(0.006730108937634149, False)","(0.4032697298846448, True)","(0.01793343283823423, False)","(0.2108017002788184, True)",41.03
CAT,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.008908812488356652, False)",44.98
MCD,"(0.04197047468106364, False)","(0.033239714429640355, False)","(0.4651953232101522, True)","(0.07939041092050003, True)","(0.2311211065190012, True)",45.02
AMZN,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.05466481150255831, True)",39.84
INTC,"(0.1564251471499955, True)","(0.12875801421105537, True)","(0.18015008846017833, True)","(0.12849050308285548, True)","(0.0939870437437873, True)",35.3
GM,"(0.1564251471499955, True)","(0.12875801421105537, True)","(0.5318840825846567, True)","(0.25947293370439883, True)","(0.00024199288217164217, False)",40.45
TXN,"(0.01979008771299665, False)","(0.015397296034679764, False)","(0.29994628228647147, True)","(0.031041471628836415, False)","(0.05542851150896544, True)",38.21
TMO,"(0.0036960116021815858, False)","(0.002782877430933528, False)","(0.39521968637069427, True)","(0.007956851089697237, False)","(0.09995254724774716, True)",45.47
MMM,"(0.951458501481197, True)","(0.8559516455567326, True)","(0.06878608843777512, True)","(0.18780465122305134, True)","(0.00011058003130957681, False)",46.42
KO,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.6028999280432492, True)","(0.5966907314487402, True)","(0.6315196949605714, True)",49.9
