Asset,Binomial,Kupiec,Christoffersen,Conditional Coverage,KS Test,Elapsed_Time_Sec
CSCO,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.11737194850874533, True)","(0.2004769183262204, True)","(0.43935071933002556, True)",62.54
ISRG,"(0.951458501481197, True)","(0.8559516455567326, True)","(0.06878608843777512, True)","(0.18780465122305134, True)","(0.2677962913889699, True)",68.28
BA,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.007907035412174301, False)","(0.01428733418736905, False)","(0.662766378325518, True)",64.76
GILD,"(1, True)","(0.8527815607708865, True)","(0.7162877373173785, True)","(0.9201147141458403, True)","(0.25398780472566285, True)",65.3
MDT,"(1, True)","(0.8527815607708865, True)","(0.7162877373173785, True)","(0.9201147141458403, True)","(0.6134253962843474, True)",59.95
V,"(0.675371478442717, True)","(0.5935590422683594, True)","(0.6398607604784312, True)","(0.7773439658153354, True)","(0.8227749196985125, True)",76.29
MO,"(0.675371478442717, True)","(0.5935590422683594, True)","(0.6592240895978102, True)","(0.7869080078867963, True)","(0.6738094811347453, True)",59.68
C,"(1, True)","(0.8527815607708865, True)","(0.7162877373173785, True)","(0.9201147141458403, True)","(0.7574428985625535, True)",66.36
T,"(0.951458501481197, True)","(0.8559516455567326, True)","(0.6776855249532965, True)","(0.9022641021661861, True)","(0.8056032751300828, True)",67.49
BAC,"(1, True)","(0.8527815607708865, True)","(0.049748320680539804, False)","(0.1433911691855797, True)","(0.47655322542496625, True)",64.93
ADBE,"(0.1564251471499955, True)","(0.12875801421105537, True)","(0.5318840825846567, True)","(0.25947293370439883, True)","(0.7451571441237554, True)",65.38
PEP,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.3532142658303036, True)",60.38
NOW,"(1, True)","(0.8527815607708865, True)","(0.7162877373173785, True)","(0.9201147141458403, True)","(0.4234647440289022, True)",72.67
LLY,"(0.1564251471499955, True)","(0.12875801421105537, True)","(0.18015008846017833, True)","(0.12849050308285548, True)","(0.5071741609689184, True)",60.5
COST,"(0.951458501481197, True)","(0.8559516455567326, True)","(0.6975360800790606, True)","(0.9121047482865479, True)","(0.4398606314776541, True)",69.34
LOW,"(1, True)","(0.8527815607708865, True)","(0.7162877373173785, True)","(0.9201147141458403, True)","(0.7562956002908905, True)",67.08
